Intel Name,Intel Source,Intel Source Link,Intel Summary,Impact,Date of Scan,Intel Push to ATS
Attackers_leveraging_tools_to_generate_LNK_Files_to_deliver_payload,Resecurity,https://resecurity.com/blog/article/shortcut-based-lnk-attacks-delivering-malicious-code-on-the-rise?&web_view=true,Threat Hunters from Resecurity have detected popular tools used by cybercriminals. Attackers are actively leveraging tools allowing them to generate malicious shortcut files (.LNK files) for payload delivery.,LOW,2022-07-19,Yes
A_continued_exploitation of Log4Shell in VMware Horizon Systems,CISA,https://www.cisa.gov/uscert/ncas/alerts/aa22-174a,"CISA has updated the Cybersecurity Advisory AA22-174A: Malicious Cyber Actors Continue to Exploit Log4Shell in VMware Horizon, originally released June 23, 2022. The advisory now includes updated IOCs provided in Malware Analysis Report (MAR)-10382580-2.",MEDIUM,2022-07-19,Yes
APT29_Group_leveraging_Online_Storage_Services,Palo Alto,https://unit42.paloaltonetworks.com/cloaked-ursa-online-storage-services-campaigns/,PaloAlto researchers noticed that Russian SVR hackers using Google Drive and Dropbox to evade detection. APT29 has adopted this new tactic in recent campaigns targeting Western diplomatic missions and foreign embassies worldwide.,MEDIUM,2022-07-19,Yes
Lazarus_Forged_Analysis_Report_on_Ecommerce_Component_Attack_Activities,Weixin,https://mp.weixin.qq.com/s/USitU4jAg9y2XkQxbwcAPQ,The APT-C-26 (Lazarus) organization has a clear purpose of this attack. It continue the attack activity disguised itself as an Alibaba-related component to attack. The payload component is related to the NukeSped family.,MEDIUM,2022-07-19,Yes
Pegasus_Spyware_Used_Against_Thailand_s_Pro_Democracy_Movement,Citizen Lab,https://citizenlab.ca/2022/07/geckospy-pegasus-spyware-used-against-thailands-pro-democracy-movement/,"Citizen Lab discovered an extensive espionage campaign targeting Thai pro-democracy protesters, and activists calling for reforms to the monarchy",LOW,2022-07-19,Yes
Elastix_VoIP_systems_hacked_in_massive_campaign,Palo Alto,https://unit42.paloaltonetworks.com/digium-phones-web-shell/,"Recently, Palo Alto Unit 42 observed another operation that targets the Elastix system used in Digium phones. The attacker implants a web shell to exfiltrate data by downloading and executing additional payloads inside the target's Digium phone software (a FreePBX module written in PHP)",LOW,2022-07-18,Yes
Phishing_campaign_involving_Emotet,Cyfirma,https://media-exp2.licdn.com/dms/document/C561FAQFQ1G-qDcfWog/feedshare-document-pdf-analyzed/0/1658115611369?e=1658966400&v=beta&t=CrzicOViop8aDfMYLyTPjPGNhnX18D5OEvX1tTKP-sI,Cyfirma researchers noticed multiple phishing campaigns involving Emotet which is dropped through a n Excel 4.0 (.xls) file as attachment.,LOW,2022-07-18,Yes
Sudden_Increase_In_Attacks_On_Modern_WPBakery_Page_Builder_Addons_Vulnerability,Wordsfence,https://www.wordfence.com/blog/2022/07/attacks-on-modern-wpbakery-page-builder-addons-vulnerability/,"The Wordfence Threat Intelligence team has been observed a spike in the attack attempts targeting Kaswara Modern WPBakery Page Builder Addons. This ongoing campaign is aiming to take advantage of an arbitrary file upload vulnerability, tracked as CVE-2021-24284, which has been previously disclosed and has not been patched on the now closed plugin.",LOW,2022-07-16,Yes
The_Maha_grass_group_attack_activity_against_Pakistan,Qianxin Blog,https://ti.qianxin.com/blog/articles/analysis-of-the-attack-activities-of-patchwork-using-the-documents-of-relevant-government-agencies-in-pakistan-as-bait/,"Recenty the Red Raindrop team of Qi'anxin Threat Intelligence Center observed several attack samples of the organization in daily threat hunting. In this attack, the attacker uses a vulnerable RTF file to carry out a spear poking attack.",LOW,2022-07-16,Yes
The_Newly_Emerged_BlueSky_Ransomware,Cloudsek,https://cloudsek.com/threatintelligence/tracking-the-operators-of-the-newly-emerged-bluesky-ransomware/,"CloudSEK discovered a financially motivated ransomware group, dubbed BlueSky, speculated to be connected to the Conti ransomware group.",MEDIUM,2022-07-16,Yes
New_campaign_ongoing_by_Transparent_Tribe_APT_group,Cisco Talos,https://blog.talosintelligence.com/2022/07/transparent-tribe-targets-education.html,Researchers at Cisco Talos has discovered a malicious campaign targeting students of universities and colleges in India. it is also suggests that the APT is actively expanding its network of victims to include civilian users.,LOW,2022-07-15,Yes
ApolloRat_Malware_compiled_using_Nuitka,Cyble,https://blog.cyble.com/2022/07/14/apollorat-evasive-malware-compiled-using-nuitka/,Cyble Researcher team has discovered a new RAT dubbed ApolloRAT.it is written in Python and uses Discord as its Command and Control (C&C) Server.,LOW,2022-07-15,Yes
UAC_0100_group_leveraging_Online_Fraud_to_target_Ukraine,CERT-UA,https://cert.gov.ua/article/761668,"CERT-UA has discovered fraudulent pages on the Facebook containing links to ""Unified Compensation Center for the Return of Unpaid Funds"". The fraudulent pages suggesting users to provide personal information and make payments, which is harvesting payment card information.",LOW,2022-07-15,Yes
North_Korean_threat_actors_uses_H0lyGh0st_ransomware,Microsoft,https://www.microsoft.com/security/blog/2022/07/14/north-korean-threat-actor-targets-small-and-midsize-businesses-with-h0lygh0st-ransomware/,Microsoft threat intelligence center tracked a threat group DEV-0530 who is using H0lyGh0st ransomware to target small and midsize businesses.,MEDIUM,2022-07-15,Yes
Indian_APT_group_Confucius_targets_Pakistan_government_and_military_institutions,Antiy Group,https://mp.weixin.qq.com/s/n6XQAGtNEXfPZXp1mlwDTQ,Antity group researcher published their findings on Indian APT Confucius campaigns targeting the Pakistani government and military institutions.,LOW,2022-07-15,Yes
Everest_Ransomware_new_TTPs_and_relation_to_Black_Byte,NCC Group,https://research.nccgroup.com/2022/07/13/climbing-mount-everest-black-byte-bytes-back/,"Researchers at NCC Group analysed an Everest ransomware file, which they assess with medium confidence that Everest ransomware is related to Black-Byte. And documented new TTPs employed by the Everest Ransomware group.",MEDIUM,2022-07-15,Yes
Phishing_tax_scam_at_Canada,Welivesecurity,https://www.welivesecurity.com/2022/07/01/phishing-scam-posing-canadian-tax-agency-canada-day/,Phishing scammers pose as Canadian tax agency before Canada Day,LOW,2022-07-07,Yes
Threat_Actors_abusing_Red_teaming_tools,Palo Alto,https://unit42.paloaltonetworks.com/brute-ratel-c4-tool/,"Unit 42 PaloAlto recently hunted and discovered the new samples that match known advanced persistent threat (APT) patterns and tactics. These samples evaluated and raised an obvious detection concerns. The sample contained a malicious payload associated with Brute Ratel C4 (BRc4), the newest red-teaming and adversarial attack simulation tool to hit the market.",MEDIUM,2022-07-07,Yes
NorthKorean_Threat_actors_uses_Maui_Ransomware,CISA,https://www.cisa.gov/uscert/ncas/alerts/aa22-187a,"A joint CSA has been released by FBI,CISA and DOT about Maui ransomware being used by North Korean threat actors to target Healthcare and Public Health Sector.",MEDIUM,2022-07-07,Yes
NoMercy_Stealer_Rapidly_Evolving_Into_Clipper_Malware,Cyble,https://blog.cyble.com/2022/07/07/nomercy-stealer-adding-new-features/,"Threat Hunters by exercising discovered, a new stealer named “NoMercy”. The investigation indicated that the stealer is a very crude and simple information stealer in its initial stages and TAs behind this are actively modifying the stealer and adding additional capabilities.",LOW,2022-07-07,Yes
Orbit_Malware_targeting_Linux_goes_undetected,Intezer,https://www.intezer.com/blog/incident-response/orbit-new-undetected-linux-threat/,"Intezer researchers provided technical analysis of a new and fully undetected malware dubbed “Orbit” that is targeting Linux systems. This malware implements advanced evasion techniques and gains persistence on the machine by hooking key functions, provides the threat actors with remote access capabilities over SSH, harvests credentials, and logs TTY commands.",LOW,2022-07-07,Yes
A_cryptomining_campaign_targets_Linux_servers,Security Affairs,"https://securityaffairs.co/wordpress/132777/cyber-crime/8220-cryptomining-campaign.html
https://blog.aquasec.com/8220-gang-confluence-vulnerability-cve-2022-26134","Microsoft Security Intelligence experts are warning of a long-running campaign conducted by a cloud threat actor group, tracked as 8220, that is now targeting Linux servers to install crypto miners.",LOW,2022-07-07,Yes
The_new_Hive_variant,Microsoft,https://www.microsoft.com/security/blog/2022/07/05/hive-ransomware-gets-upgrades-in-rust/,Microsoft Threat Intelligence Center discovered the new variant while analyzing detected Hive ransomware techniques for dropping .key files,MEDIUM,2022-07-06,Yes
Bitter_APT_targets_Bangladesh,SecuInfra,https://www.secuinfra.com/en/techtalk/whatever-floats-your-boat-bitter-apt-continues-to-target-bangladesh/,Researchers from Secuinfra analyzed a attack by Bitter APT group who has targeted military organizations of Bangladesh.,LOW,2022-07-06,Yes
Cobalt_Strike_and_Meterpreter,ASEC,https://asec.ahnlab.com/en/36159/,Reserachers from ASEC analyzed the attack case that installs Cobalt Strike and Meterpreter in vulnerable MS-SQL servers to gain control. The attacker then installs AnyDesk to control the infected system in a remote desktop environment.,LOW,2022-07-06,Yes
Diving_deep_into_BumbleBee_Loader_updated_IOCs,Securonix,https://www.securonix.com/blog/securonix-threat-labs-initial-coverage-advisory-analysis-and-detection-of-bumblebee-loader-using-securonix/,"Securonix Threat Labs Threat Research Team has analysed a sample of BumbleBee, it appear to follow a similar delivery mechanism which we can use to detect the initial foothold of the loader. Currently, AV detection of the BumbleBee loader is very weak as vendors work to update their signatures and heuristic detections. But the main DLL payload of this loader is very much capable of evading EDR detection at the time of publication.",MEDIUM,2022-07-06,Yes
DarkComet_RAT_returned_with_new_TTPs,SocInvestigations,https://www.socinvestigation.com/darkcomet-rat-returns-with-new-ttps-detection-response/,Researchers from SocInvestigation documented about the new TTPs of DarkComet RAT and also its detection and response. Generally the Darkcomet is spread via Phishing campaign,LOW,2022-07-06,Yes
Malicious_NPM_Packages_Stealing_Data,ReversingLabs,https://blog.reversinglabs.com/blog/iconburst-npm-software-supply-chain-attack-grabs-data-from-apps-websites,ReversingLabs researchers uncover malicious NMP packages stealing data as an evidence of a widespread software supply chain attack.,LOW,2022-07-06,Yes
Vsingle_Malware_used_by_Lazarus_Group,JPCERT,https://blogs.jpcert.or.jp/en/2022/07/vsingle.html,"Researchers from JPCERT detailed about VSingle malware used by the Lazarus group, which has been updated to retrieve C2 servers information from GitHub.",MEDIUM,2022-07-05,Yes
Xloader_Malware_returns_with_new_infection_technique,Cyble,https://blog.cyble.com/2022/07/01/xloader-returns-with-new-infection-technique/,"Researchers at Cyble has analysed an infection chain of Xloader malware. The malware uses multiple file types such as PDF, XLSX, and RTF for its initial infection and execution. It is also designed to drop three modules in memory and execute the final payload using the Process-Hollowing technique.",MEDIUM,2022-07-05,Yes
SessionManager_IIS_backdoor,SecureList,https://securelist.com/the-sessionmanager-iis-backdoor/106868/,"Researchers at SecureList were investigating IIS backdoor called SessionManager since early 2022. SessionManager has been used against NGOs, government, military and industrial organizations in Africa, South America, Asia, Europe, Russia and the Middle East, starting from at least March 2021.",MEDIUM,2022-07-04,Yes
GlowSand_Campaign,Inquest,https://inquest.net/blog/2022/06/27/glowsand,Researchers at Inquest has analysed Multistage malicious documnet masquerading as a Ukrainian military payroll document. The document was Obfuscated and geofenced to only infect UKraine systems.,LOW,2022-07-04,Yes
MedusaLocker_Ransomware,CISA,https://www.cisa.gov/uscert/sites/default/files/publications/AA22-181A_stopransomware_medusalocker.pdf,"In a joint advisory by CISA, FBI, Treasury, FinCEN to support the #StopRansomware camapign, providing information on MedusaLocker ransomware. Observed as recently as May 2022, MedusaLocker actors predominantly rely on vulnerabilities in Remote Desktop Protocol(RDP) to access victims’ networks",MEDIUM,2022-07-04,Yes
YTStealer_Malware,Intezer,https://www.intezer.com/blog/research/ytstealer-malware-youtube-cookies/,"YTStealer is a malware that aims to steal YouTube authentication cookies. As a stealing program, it acts like many other stealing programs.",LOW,2022-07-04,Yes
Countering_hack_for_hire_attacker_groups,Google blog,https://blog.google/threat-analysis-group/countering-hack-for-hire-groups/,"Google's Threat Analysis Group (TAG) on Thursday released that they blocked as many as 36 malicious domains operated by hack-for-hire groups from India, Russia, and the U.A.E. It has been seen hack-for-hire groups target human rights and political activists, journalists, and other high-risk users around the world, putting their privacy, safety and security at risk. ",LOW,2022-07-01,Yes
PennyWise_Infostealer_leveraging_YouTube_to_infect_users,Cyble,https://blog.cyble.com/2022/06/30/infostealer/,"Threat Hunters by exercising they discovered, a new stealer named “PennyWise”.The stealer appears to have been developed recently. The investigation indicated that the stealer is an emerging threat and the researchers witnessed multiple samples of this stealer active in the wild. ",LOW,2022-07-01,Yes
Raccoon_Stealer_v2,Sekoia,https://blog.sekoia.io/raccoon-stealer-v2-part-1-the-return-of-the-dead/,It was observed by reserachers this weekthey that cyber criminals using a new and improved version of the productive malware Raccoon Stealer that was barely three months after its authors announced they were quitting.,LOW,2022-06-30,Yes
Emotet_still_abusing_Microsoft_Office_Macros,NetSkope,https://www.netskope.com/blog/emotet-still-abusing-microsoft-office-macros https://github.com/netskopeoss/NetskopeThreatLabsIOCs/tree/main/Emotet/2022-06-24,"Researchers at Netskope Threat Labs has analysed campaign where Emotet is still being executed using malicious Mircosoft office documents. Despite the protection Microsoft released in 2022 to prevent the execution of Excel 4.0 (XLM) macros, this attack is still feasible against users who are using outdated versions of Office.",MEDIUM,2022-06-30,Yes
New_ZuoRAT_malware_targets_SOHO_router,Lumen blog,https://blog.lumen.com/zuorat-hijacks-soho-routers-to-silently-stalk-networks/ https://github.com/blacklotuslabs/IOCs/blob/main/ZuoRAT_IoCs.txt,"Black Lotus Labs, the threat intelligence arm of Lumen Technologies has identified and tracking the details of a new and sophisticated multistage remote access trojan (RAT) that leveraging infected SOHO routers to target predominantly North American and European networks of interest. This trojan grants the actor the ability to pivot into the local network and gain access to additional systems on the LAN by hijacking network communications to maintain an undetected foothold. ",LOW,2022-06-30,Yes
Black_Basta_Ransomware_gang_added_Qakbot_and_PrintNightmare_Exploit_to_their_Arsenal,Trend Micro,https://www.trendmicro.com/en_us/research/22/f/black-basta-ransomware-operators-expand-their-attack-arsenal-wit.html,Researchers at Trend Micro identified Black Basta ransomware ransomware group that used the banking trojan QakBot as a means of entry and movement and took advantage of the PrintNightmare vulnerability to perform privileged file operations.,MEDIUM,2022-06-30,Yes
AstraLocker_2.0_Ransomware_distributed_from_Microsoft_Word_files,ReversingLabs,https://blog.reversinglabs.com/blog/smash-and-grab-astralocker-2-pushes-ransomware-direct-from-office-docs,Researchers at ReversingLabs has discovered a new version of the AstraLocker ransomware (AstraLocker 2.0) that was being distributed directly from Microsoft Office files used as bait in phishing attacks.,MEDIUM,2022-06-29,Yes
Ukraine_targeted_by_Dark_Crystal_RAT_or_DCRat,Fortinet,https://www.fortinet.com/blog/threat-research/ukraine-targeted-by-dark-crystal-rat,"Researchers at FortiGuard Labs came across another file that was likely used in the attack campaign described by CERT-UA. However,  the date of the file submission to VirusTotal, and the location of the submission being Ukraine. The new file however is in Excel (xlsx) format and contains malicious macros instead of the docx format and exploitation of CVE-2022-30190 (Follina).",LOW,2022-06-29,Yes
ShadowPad_backdoor_and_MS_Exchange_bug_leveraged_to_attack_ICS,Kaspersky ICS CERT,https://ics-cert.kaspersky.com/publications/reports/2022/06/27/attacks-on-industrial-control-systems-using-shadowpad/,"Researchers at Kaspersky ICS CERT has spotted a threat actor targeting organizations in the industrial, telecommunications, logistics and transport sectors in Pakistan, Afghanistan and Malaysia respectively exploiting Microsoft Exchange server vulnerability (CVE-2021-26855) and downloading Shadow backdoor.",LOW,2022-06-28,Yes
Software_Cracks_Distributing_Recordbreaker_Stealer,ASEC,https://asec.ahnlab.com/en/35981/,ASEC Research Team has analysed ,LOW,2022-06-28,Yes
Evilnum_APT_returns_with_new_Threat_and_TTPs,Zscaler,https://www.zscaler.com/blogs/security-research/return-evilnum-apt-updated-ttps-and-new-targets,Researchers from Zscaler have been tracking Evilnum APT group since starting of 2022 and have seen this time with a newer target list and TTPs.The main distribution vector used by this threat group was Windows Shortcut files (LNK) sent inside malicious archive files (ZIP) as email attachments in spear phishing emails to the victims.,MEDIUM,2022-06-28,Yes
Python_malicious_script_executing_a_keylogger,ISC.SANS,https://isc.sans.edu/forums/diary/Python+abusing+The+Windows+GUI/28780/,Researcher from ISC.SANS disovered a Python script that has some interesting features that can conduct social engineering attacks,LOW,2022-06-27,Yes
Socgholish_initiated_through_Cobalt_Strike_payloads,Esentire,https://www.esentire.com/blog/socgholish-to-cobalt-strike-in-10-minutes,"ESentire had an observation of drive-by threats such as Socgholish, Gootkit Loader and Solarmarker are on the rise. Both Socgholish and Gootkit Loader have been linked to follow-on attacks initiated through Cobalt Strike payloads.",LOW,2022-06-27,Yes
DarkCrystal_RAT_malware_attacking_Ukraining_telecom_operators,CERT-UA,https://cert.gov.ua/article/405538,"CERT-UA received information about Crystal RAT attack that is aimed at operators and telecommunications providers of Ukraine. It was distributed by e-mails with the topic ""Free primary legal aid"" and the attachment ""Algorithm of actions of members of the family of a missing serviceman LegalAid.rar"".",LOW,2022-06-27,Yes
BlackBastaRansomware,Cybereason,https://www.cybereason.com/blog/cybereason-vs.-black-basta-ransomware,Researchers from Cybereason analyzed the attack of BlackBasta ransomware and provided key details anbout its growth since inception,MEDIUM,2022-06-25,Yes
BRONZ_STARLIGHT_Ransomware_Operations_levearge_HUI_Loader,SecureWorks,https://www.secureworks.com/research/bronze-starlight-ransomware-operations-use-hui-loader,Researchers at Secureworks CTU has observed a China-linked state-sponsored hacking group named Bronze Starlight deploying various ransomware families to hide the true intent of its attacks.,MEDIUM,2022-06-24,Yes
LockBit_Ransomware_being_distributed_using_Copyright_related_Emails,ASEC,https://asec.ahnlab.com/en/35822/,"ASEC Research team has discovered the distribution of LockBit ransomware using phishing e-mail, and disguising itself as copyright claims e-mail. The phishing e-mail has a compressed file as an attachment that contains another compressed file inside.",MEDIUM,2022-06-24,Yes
CALISTO_Russian_Threat_Actor_continues_its_credential_harvesting_campaign,Sekoia,https://blog.sekoia.io/calisto-continues-its-credential-harvesting-campaign/,"Sekoia Threat & Detection Research Team has followed GoogleTAG team finding on russian threat actor CALISTO, and identified a phishing campaign where CALISTO uses Evilginx on its VPS to capture the victim’s credentials. This well known open source tool creates an SSL reverse proxy between the victim and a legitimate website to capture web credentials, 2FA tokens.",MEDIUM,2022-06-24,Yes
Conti_ArmAttack_Campaign,Group-IB,https://www.group-ib.com/media/conti-armada-report/,GroupIB researchers documented about CONTI ransomware new campaign dubbed as ARMattack. In this campaign they compromised at least more than 40 companies and it took 3 days for them to to that.,MEDIUM,2022-06-24,Yes
New_malware_associated_with_Iranian_SiameseKitten_Group_or_Lyceum,ClearSky,https://www.clearskysec.com/wp-content/uploads/2022/06/Lyceum-suicide-drone-23.6.pdf,"Researchers at ClearSky security has discovered a new malware linked with Lyceum group. The is downloaded from a domain registered on June 6th, and it communicates with a previously unknown command and control server whose IP address is adjacent to that of the domain.",MEDIUM,2022-06-24,Yes
Log4Shell_exploits_still_being_used_to_hack_VMware_servers,CISA,"https://www.cisa.gov/uscert/ncas/alerts/aa22-174a
https://www.bleepingcomputer.com/news/security/cisa-log4shell-exploits-still-being-used-to-hack-vmware-servers/","CISA warned today that threat actors, including state-backed hacking groups, are still targeting VMware Horizon and Unified Access Gateway (UAG) servers using the Log4Shell (CVE-2021-44228) remote code execution vulnerability.",MEDIUM,2022-06-24,Yes
Keona_Clipper_Leverages_Telegram_For_Anonymity,Cyble,https://blog.cyble.com/2022/06/22/keona-clipper-leverages-telegram-for-anonymity/,"Cyble researchers found a post advertising a new clipper malware, namely “Keona Clipper.” The Keona clipper is unique and anonymous software wrapped in a Telegram bot with stealth and anonymity. Additionally, the malware disguises itself as a system file and sends victim details to a Telegram bot.",LOW,2022-06-23,Yes
Chinese_Threat_actors_targets_Russian_Government_Agencies,CERT-UA,https://cert.gov.ua/article/375404,CERT UA researchers discovered malicious files which have been used to exploit vulnerabilities in MS Office. This attack has been linked to Chinese threat actors.,LOW,2022-06-23,Yes
AA_distribution_Qakbot_with_DarkVNC_and_Cobalt Strike,Palo Alto,"https://twitter.com/Unit42_Intel/status/1539700018558427140
https://github.com/pan-unit42/tweets/blob/master/2022-06-21-IOCs-for-AA-distribution-Qakbot-with-DarkVNC-and-Cobalt-Strike.txt",Securonix Threat Intelligence unit has identified a new wave of QBOT infection further delivering DarkVNC and Cobalt Strike.,MEDIUM,2022-06-23,Yes
China_Linked_ToddyCat_APT_Pioneers_Novel_Spyware,Kaspersky,https://securelist.com/toddycat/106799/,"Researchers from Kaspersky found APT group dubbed ToddyCat has been targeting Microsoft Exchange servers throughout Asia and Europe for more than a year. Also, they found a previously unknown passive backdoor they named Samurai and new trojan malware dubbed Ninja Trojan.",MEDIUM,2022-06-22,Yes
MuddyWater’s_new_campagin_targetting_Middle_East,Lab52,https://lab52.io/blog/muddywaters-light-first-stager-targetting-middle-east/,"MuddyWater threat group, allegedly sponsored by the Iranian government and linked to the Iranian revolutionary guard, has mantained a “long-term” infection campaign targeting Middle East countries. Researchers from Lab52 found recent samples and discovered that attackers might modify its functionality in a later stage, based on the obtained information from the infected host or, at least, use it to download and drop the next infection stage.",MEDIUM,2022-06-22,Yes
Malicious_PowerShell_attack_in_Cryptocurrency_Browser_Extensions,ISC.SANS,https://isc.sans.edu/diary/rss/28772,Researchers from SANS found a malicious powerShell script targeting cryptocurrency browser apps or extensions.,LOW,2022-06-22,Yes
Tropic_Trooper_APT_new_TTPs,Checkpoint,https://research.checkpoint.com/2022/chinese-actor-takes-aim-armed-with-nim-language-and-bizarro-aes/,Check Point researchers shared findings  of the infection chain which includes a previously undescribed loader (dubbed “Nimbda”) written in Nim language on a group / activity cluster with ties to Tropic Trooper:,MEDIUM,2022-06-22,Yes
Rise_of_LNK_Malware,McAfee,"https://www.mcafee.com/blogs/other-blogs/mcafee-labs/rise-of-lnk-shortcut-files-malware/#:~:text=An%20LNK%20file%20is%20a,to%20access%20another%20data%20object.","Researchers at McAfee Labs has identified three campiagns, where attackers abusing the windows shortcut LNK files and made them to be extremely dangerous to the common users. LNK files are being used to deliver malware such as Emotet, Qakbot, and IcedID.",MEDIUM,2022-06-22,Yes
Quantum Software Possibly Linked to Lazarus APT group,Cyble,https://blog.cyble.com/2022/06/22/quantum-software-lnk-file-based-builders-growing-in-popularity/,Researchers from Cyble came across a post from a threat actor on deep web forum advertising about Quantum Software a LNK file based builder and it has possible links with Lazarus APT group.,LOW,2022-06-22,Yes
RIG_Exploit_campaign_rapidly_modified_Raccoon_malware_with_Dridex,BitDefender,https://www.bitdefender.com/blog/labs/rig-exploit-kit-swaps-dead-raccoon-with-dridex/ https://www.bitdefender.com/files/News/CaseStudies/study/417/Bitdefender-PR-Whitepaper-Raccoon-creat6205-en-EN.pdf,Bitdefender researchers discovered a new RIG Exploit Kit campaign have rapidly adapted by replacing Raccoon malware with Dridex to make the most of the ongoing campaign.,LOW,2022-06-22,Yes
Avos_Ransomware_adds_new_Arsenal,Cisco Talos,https://blog.talosintelligence.com/2022/06/avoslocker-new-arsenal.html,"Researchers from Cisco Talos found a month long AvosLocker ransomware campaign in which the threat actors have leveraged Cobalt Strike, Sliver and multiple commercial network scanners.",MEDIUM,2022-06-21,Yes
UAC_0098_targeting_Ukraine_Critical_Infrastructure_facilities,CERT-UA,https://cert.gov.ua/article/339662,"CERT-UA has analysed an phishing email contains an attached malicious documents which open an HTML file and execute JavaScript code (CVE-2022-30190), it further download and run the malicious program Cobalt Strike Beacon.",LOW,2022-06-21,Yes
APT28_levarging_CredoMap_Malware_to-target_Ukraine,CERT-UA,https://cert.gov.ua/article/341128,"CERT-UA has analysed a phishing email which contains an attachment of malicious document related to Nuclear Terrorism, after opening to it will leads to downloading an HTML file and executing JavaScript code (CVE-2022-30190), it will further download and launch the CredoMap malware.",LOW,2022-06-21,Yes
Cybercriminals_levearging_Azure_Front_Door_service_in_Phishing_attacks,Resecurity,https://resecurity.com/blog/article/cybercriminals-use-azure-front-door-in-phishing-attacks,Researchers at Resecurity has identified a phishing campaign delivered via Azure Front Door (AFD) service by Microsoft. This attack allows the bad actors to trick users and spread phishing content to intercept credentials from business applications and e-mail accounts.,LOW,2022-06-21,Yes
BlackGuard_Infostealer,CyberInt,https://cyberint.com/blog/research/blackguard-stealer/,"Researchers at CyberInt discovered campaigns abusing gaming forums and Discord channels to distribute BlackGuard, along with a new data exfiltration technique using Telegram.",LOW,2022-06-20,Yes
